iter	Passed	Remaining
1100	15198	398924
1101	15208	398827
1102	15225	398880
1103	15237	398832
1104	15248	398735
1105	15262	398723
1106	15277	398740
1107	15290	398722
1108	15305	398718
1109	15317	398658
1110	15328	398573
1111	15338	398482
1112	15352	398462
1113	15371	398578
1114	15383	398531
1115	15396	398478
1116	15406	398380
1117	15414	398225
1118	15427	398177
1119	15447	398332
1120	15471	398581
1121	15486	398597
1122	15499	398569
1123	15510	398476
1124	15521	398395
1125	15535	398371
1126	15544	398241
1127	15554	398138
1128	15567	398082
1129	15583	398135
1130	15594	398060
1131	15609	398076
1132	15622	398041
1133	15634	397987
1134	15648	397959
1135	15660	397905
1136	15673	397870
1137	15686	397853
1138	15700	397822
1139	15713	397791
1140	15722	397657
1141	15735	397643
1142	15746	397552
1143	15761	397559
1144	15777	397608
1145	15789	397539
1146	15803	397541
1147	15822	397653
1148	15845	397876
1149	15859	397872
1150	15871	397800
1151	15882	397730
1152	15901	397830
1153	15918	397898
1154	15930	397858
1155	15940	397741
1156	15952	397678
1157	15963	397587
1158	15979	397634
1159	15987	397493
1160	15997	397370
1161	16005	397223
1162	16015	397112
1163	16027	397060
1164	16040	397016
1165	16049	396877
1166	16066	396949
1167	16079	396916
1168	16092	396881
1169	16106	396886
1170	16120	396861
1171	16131	396789
1172	16143	396725
1173	16157	396736
1174	16170	396694
1175	16181	396606
1176	16193	396556
1177	16211	396632
1178	16223	396576
1179	16236	396544
1180	16247	396484
1181	16261	396459
1182	16275	396467
1183	16288	396415
1184	16300	396370
1185	16318	396470
1186	16333	396474
1187	16346	396453
1188	16358	396397
1189	16370	396328
1190	16388	396414
1191	16406	396514
1192	16418	396461
1193	16440	396645
1194	16463	396843
1195	16475	396801
1196	16489	396779
1197	16503	396766
1198	16512	396649
1199	16523	396572
1200	16538	396569
1201	16548	396468
1202	16560	396424
1203	16574	396423
1204	16588	396393
1205	16601	396366
1206	16611	396269
1207	16621	396165
1208	16633	396097
1209	16644	396020
1210	16658	396009
1211	16670	395959
1212	16683	395945
1213	16695	395877
1214	16707	395821
1215	16718	395749
1216	16730	395698
1217	16746	395727
1218	16757	395646
1219	16766	395526
1220	16787	395688
1221	16812	395927
1222	16828	395978
1223	16840	395920
1224	16851	395843
1225	16862	395753
1226	16873	395670
1227	16887	395684
1228	16903	395720
1229	16921	395790
1230	16931	395694
1231	16943	395645
1232	16953	395544
1233	16966	395502
1234	16979	395489
1235	16996	395529
1236	17021	395783
1237	17035	395776
1238	17051	395822
1239	17062	395734
1240	17073	395661
1241	17089	395691
1242	17102	395679
1243	17115	395643
1244	17127	395590
1245	17137	395483
1246	17151	395481
1247	17164	395442
1248	17175	395374
1249	17196	395509
1250	17217	395667
1251	17226	395549
1252	17235	395427
1253	17248	395404
1254	17259	395327
1255	17272	395282
1256	17285	395244
1257	17293	395118
1258	17304	395031
1259	17312	394897
1260	17326	394892
1261	17337	394808
1262	17350	394785
1263	17364	394763
1264	17378	394766
1265	17388	394652
1266	17399	394591
1267	17410	394498
1268	17423	394474
1269	17435	394422
1270	17446	394346
1271	17463	394411
1272	17481	394499
1273	17499	394580
1274	17511	394534
1275	17526	394547
1276	17538	394495
1277	17550	394431
1278	17563	394403
1279	17576	394366
1280	17588	394316
1281	17598	394233
1282	17612	394221
1283	17625	394183
1284	17637	394133
1285	17649	394084
1286	17662	394050
1287	17674	394001
1288	17688	393984
1289	17699	393909
1290	17716	393967
1291	17731	393987
1292	17744	393954
1293	17754	393861
1294	17765	393800
1295	17776	393723
1296	17792	393763
1297	17804	393704
1298	17819	393723
1299	17833	393704
1300	17844	393639
1301	17855	393559
1302	17867	393504
1303	17881	393512
1304	17894	393475
1305	17912	393547
1306	17923	393487
1307	17934	393416
1308	17946	393358
1309	17962	393385
1310	17977	393404
1311	17991	393397
1312	18004	393376
1313	18017	393338
1314	18030	393311
1315	18044	393309
1316	18055	393237
1317	18065	393145
1318	18081	393164
1319	18094	393134
1320	18110	393178
1321	18123	393148
1322	18135	393099
1323	18150	393123
1324	18161	393045
1325	18173	392987
1326	18188	393003
1327	18203	393029
1328	18214	392944
1329	18225	392869
1330	18236	392801
1331	18247	392726
1332	18259	392691
1333	18270	392616
1334	18280	392511
1335	18293	392499
1336	18311	392561
1337	18324	392535
1338	18338	392523
1339	18352	392527
1340	18363	392461
1341	18373	392355
1342	18389	392401
1343	18399	392304
1344	18412	392272
1345	18423	392213
1346	18433	392121
1347	18448	392130
1348	18459	392046
1349	18471	391998
1350	18481	391920
1351	18491	391829
1352	18509	391895
1353	18522	391873
1354	18533	391798
1355	18549	391837
1356	18560	391764
1357	18582	391934
1358	18598	391965
1359	18608	391873
1360	18619	391792
1361	18633	391798
1362	18645	391755
1363	18656	391682
1364	18665	391573
1365	18674	391457
1366	18690	391487
1367	18704	391490
1368	18722	391554
1369	18733	391493
1370	18745	391450
1371	18758	391418
1372	18773	391417
1373	18794	391575
1374	18815	391703
1375	18826	391644
1376	18839	391614
1377	18850	391545
1378	18863	391513
1379	18877	391500
1380	18893	391527
1381	18906	391500
1382	18920	391494
1383	18932	391459
1384	18944	391407
1385	18960	391441
1386	18975	391450
1387	18984	391343
1388	18995	391267
1389	19008	391249
1390	19019	391186
1391	19032	391157
1392	19044	391099
1393	19058	391088
1394	19071	391067
1395	19084	391037
1396	19097	391016
1397	19108	390948
1398	19125	390992
1399	19138	390971
1400	19155	391030
1401	19164	390917
1402	19173	390803
1403	19184	390736
1404	19196	390697
1405	19206	390607
1406	19220	390601
1407	19232	390547
1408	19247	390559
1409	19259	390514
1410	19269	390432
1411	19282	390398
1412	19293	390334
1413	19305	390288
1414	19315	390203
1415	19329	390192
1416	19339	390104
1417	19349	390028
1418	19361	389967
1419	19377	390010
1420	19389	389963
1421	19404	389982
1422	19419	389985
1423	19430	389923
1424	19441	389859
1425	19451	389761
1426	19464	389744
1427	19479	389743
1428	19489	389662
1429	19505	389703
1430	19526	389825
1431	19538	389779
1432	19552	389774
1433	19561	389682
1434	19572	389617
1435	19587	389627
1436	19597	389528
1437	19609	389484
1438	19624	389508
1439	19635	389438
1440	19646	389371
1441	19657	389307
1442	19667	389218
1443	19684	389282
1444	19695	389204
1445	19707	389158
1446	19718	389092
1447	19728	389004
1448	19738	388932
1449	19748	388833
1450	19760	388800
1451	19769	388692
1452	19779	388602
1453	19788	388505
1454	19800	388457
1455	19812	388407
1456	19822	388336
1457	19835	388298
1458	19848	388275
1459	19861	388244
1460	19873	388204
1461	19889	388244
1462	19910	388363
1463	19923	388337
1464	19939	388374
1465	19956	388432
1466	19967	388371
1467	19977	388278
1468	19986	388182
1469	20000	388165
1470	20015	388194
1471	20029	388179
1472	20041	388131
1473	20054	388100
1474	20069	388114
1475	20083	388124
1476	20100	388161
1477	20116	388203
1478	20127	388147
1479	20140	388115
1480	20151	388053
1481	20165	388038
1482	20175	387952
1483	20185	387873
1484	20197	387832
1485	20208	387766
1486	20220	387726
1487	20231	387669
1488	20244	387643
1489	20255	387575
1490	20268	387548
1491	20287	387646
1492	20300	387608
1493	20314	387614
1494	20328	387593
1495	20345	387643
1496	20354	387559
1497	20365	387485
1498	20376	387428
1499	20386	387347
1500	20399	387317
1501	20410	387256
1502	20427	387306
1503	20443	387332
1504	20454	387279
1505	20466	387233
1506	20480	387226
1507	20489	387134
1508	20503	387123
1509	20517	387119
1510	20533	387149
1511	20544	387079
1512	20558	387071
1513	20569	387012
1514	20582	386982
1515	20592	386918
1516	20609	386952
1517	20625	386988
1518	20645	387095
1519	20659	387096
1520	20681	387229
1521	20694	387219
1522	20705	387152
1523	20717	387115
1524	20730	387073
1525	20740	386996
1526	20749	386905
1527	20759	386819
1528	20770	386763
1529	20785	386768
1530	20800	386777
1531	20812	386734
1532	20837	386932
1533	20857	387050
1534	20868	386981
1535	20882	386981
1536	20902	387077
1537	20915	387063
1538	20929	387050
1539	20943	387038
1540	20955	387005
1541	20965	386919
1542	20977	386874
1543	20991	386877
1544	21006	386888
1545	21020	386878
1546	21038	386956
1547	21053	386951
1548	21065	386908
1549	21076	386861
1550	21093	386913
1551	21104	386834
1552	21112	386732
1553	21122	386645
1554	21136	386644
1555	21150	386637
1556	21162	386594
1557	21173	386530
1558	21188	386547
1559	21200	386500
1560	21211	386442
1561	21225	386438
1562	21237	386390
1563	21249	386357
1564	21260	386282
1565	21270	386214
1566	21279	386120
1567	21291	386068
1568	21302	386019
1569	21321	386099
1570	21342	386224
1571	21355	386188
1572	21366	386134
1573	21376	386062
1574	21389	386023
1575	21404	386032
1576	21415	385981
1577	21425	385901
1578	21441	385932
1579	21454	385908
1580	21464	385839
1581	21480	385855
1582	21490	385782
1583	21500	385704
1584	21517	385752
1585	21530	385727
1586	21543	385697
1587	21556	385673
1588	21567	385630
1589	21578	385557
1590	21590	385525
1591	21602	385476
1592	21616	385475
1593	21629	385443
1594	21642	385417
1595	21657	385434
1596	21668	385371
1597	21681	385350
1598	21693	385312
1599	21708	385330
1600	21719	385271
1601	21728	385163
1602	21737	385073
1603	21748	385010
1604	21765	385058
1605	21779	385064
1606	21791	385020
1607	21802	384957
1608	21815	384938
1609	21826	384880
1610	21836	384805
1611	21853	384849
1612	21870	384890
1613	21889	384975
1614	21900	384915
1615	21910	384850
1616	21922	384796
1617	21935	384782
1618	21964	385039
1619	21977	385007
1620	21988	384954
1621	22003	384966
1622	22020	385009
1623	22035	385025
1624	22051	385057
1625	22069	385109
1626	22082	385094
1627	22095	385077
1628	22109	385068
1629	22120	385003
1630	22130	384926
1631	22149	385008
1632	22162	384987
1633	22173	384930
1634	22188	384944
1635	22204	384972
1636	22218	384970
1637	22230	384916
1638	22244	384914
1639	22253	384820
1640	22270	384865
1641	22282	384829
1642	22293	384776
1643	22308	384772
1644	22320	384732
1645	22333	384711
1646	22345	384678
1647	22356	384626
1648	22369	384595
1649	22380	384533
1650	22392	384504
1651	22402	384426
1652	22412	384351
1653	22425	384327
1654	22437	384290
1655	22449	384239
1656	22462	384220
1657	22474	384177
1658	22487	384162
1659	22498	384101
1660	22508	384031
1661	22519	383973
1662	22531	383937
1663	22547	383954
1664	22562	383965
1665	22576	383961
1666	22588	383930
1667	22597	383837
